,Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total,coordinates
92,23 rd ST,AT,MAIN ST,AUTO,SR,September 29 2011,THU,3594.0,9204.0,,,12798.0,"(34.0273161, -118.2671229)"
93,23 rd ST,AT,OAK ST,AUTO,SR,November 07 2011,MON,7255.0,7699.0,,,14954.0,"(34.0334202, -118.2800054)"
94,23 rd ST,AT,ESTRELLA ST,AUTO,SR,September 29 2011,THU,10750.0,10408.0,,,21158.0,"(34.0181056, -118.2488121)"
95,24 th ST,AT,WALKER AV,AUTO,SR,October 26 2011,WED,218.0,458.0,,,676.0,"(33.7224935, -118.3034504)"
96,24 th ST,AT,NORMANDIE AV,MAN,SR,January 17 2013,THU,456.0,294.0,0.0,0.0,750.0,"(34.0345362, -118.3002847)"
97,24 th ST,AT,ARLINGTON AV,MAN,HW,October 09 2013,WED,432.0,407.0,0.0,0.0,839.0,"(34.0348898, -118.3176986)"
98,24 th ST,AT,WESTERN AV,MAN,HW,February 06 2014,THU,0.0,971.0,0.0,0.0,971.0,"(34.034726, -118.3089992)"
99,24 th ST,AT,ARLINGTON AV,AUTO,HW,August 29 2013,THU,707.0,742.0,0.0,0.0,1449.0,"(34.0348898, -118.3176986)"
100,24 th ST,W/O,WESTERN AV,AUTO,CR,February 03 2014,MON,1629.0,1137.0,0.0,0.0,2766.0,"(34.034726, -118.3089992)"
101,24 th ST,AT,CABRILLO AV,MAN,CR,May 23 2011,MON,13322.0,17296.0,,,30618.0,"(33.7224618, -118.2946323)"
102,24 th ST,AT,NORMANDIE AV,AUTO,HW,June 16 2011,THU,20589.0,12272.0,,,32861.0,"(34.0345362, -118.3002847)"
103,240 th ST,AT,WESTERN AV,AUTO,SR,November 12 2013,TUE,1812.0,2087.0,0.0,0.0,3899.0,"(33.806688, -118.301329)"
104,24th ST,AT,WALKER AV,AUTO,SR,May 21 2014,WED,638.0,486.0,0.0,0.0,1124.0,"(33.7224935, -118.3034504)"
105,25 th ST,AT,GRIFFITH AV,MAN,CR,May 14 2013,TUE,357.0,385.0,0.0,0.0,742.0,"(34.0207592, -118.256928)"
106,25 th ST,E/O,WESTERN AV,AUTO,SR,October 26 2011,WED,,,471.0,353.0,824.0,"(34.0343457, -118.3283959)"
107,25 th ST,AT,WHITES POINT DR,AUTO,SR,July 11 2011,MON,681.0,697.0,,,1378.0,"(33.722221, -118.311588)"
108,25 th ST,AT,WHITE POINTS DR / MALL DRIVEWAY,MAN,SR,October 29 2013,TUE,8507.0,7922.0,0.0,0.0,16429.0,"(33.9899419, -118.4402329)"
109,25 th ST,W/O,GAFFEY ST,MAN,CR,June 22 2011,WED,15176.0,10949.0,,,25888.0,"(33.721401, -118.2927233)"
110,253 rd ST,AT,FRAMPTON AV,AUTO,SR,July 11 2011,MON,424.0,432.0,,,856.0,"(33.794746, -118.2999311)"
111,257 th ST,AT,NORMANDIE AV,AUTO,SR,January 08 2014,WED,293.0,1824.0,0.0,0.0,2117.0,"(33.7909367, -118.2975085)"
112,26 th ST,AT,PATTON AV,AUTO,SR,January 14 2014,TUE,551.0,564.0,0.0,0.0,1115.0,"(33.7208097, -118.3056628)"
